personLabel	birthDate	startDate	groupBirthPlaceLabel	groupGenreLabels	groupLabelLabels
Gregg Martinez	1956-08-02		Lafayette, Louisiana		
Steve Scott (performer)		1992		Americana (music)|Country music	
Nolan Porter	1949-05-10	1968	Los Angeles	R&B	ABC-Dunhill|Probe Records
Walter Roland	1902-12-20	1920		Blues|Boogie-woogie|Jazz	ARC (record company)|Banner Records
Khaled Habib	1970-01-24	1990	Tiaret	Algerian music	
Connie Converse	1924-08-03		Laconia, New Hampshire		
Johnny Carroll	1937-10-23	1956	Cleburne, Texas|Cleveland	Rockabilly	Decca Records|Sun Records|Warner Bros. Records
Matt Pop		2010		Dancepop|Pop music|Synthpop	Almighty Records|Energise Records
Ricardo Arjona	1964-01-19	1985		Latin pop	Metamorfosis (label)|PolyGram|Sony Music|Warner Music Latina
Jason Lindner	1973-02-01	1990		Electronica|Jazz|Jazz fusion|Latin music (genre)|Worldbeat	
Nooshafarin	1956-03-02	1972	Rudbar|Tehran	Dance music|Pop music	
Joe Ghost	1987-01-29		Toronto	Electro house|Progressive house|Tech house	
Ian Ball	1975-10-19	1990		Alternative rock|Indie rock	
Snootie Wild	1985-04-23	2011	Memphis, Tennessee	Hip hop music	Epic Records|Yo Gotti
Erdem Helvacıoğlu	1975-05-22	2000			
Aidan Davis	1997-03-23	2009		Rapper	
Vini Reilly	1953-08-04	1978		Dream pop|Post-punk	Factory Records
Orrin Tucker	1911-02-17	1939	St. Louis		
Jeremy Horn (singer)	1978-06-23	2005		Christian Rock|Contemporary Christian	
Martin Gilks	1965-03-02	1985			
Airavt	1992-07-01	2011	Bikaner	Electro house|Electronic dance music|Progressive house	
Michael Houstoun	1952-10-20		Timaru	Classical music	
Ultra Naté	1968-03-20	1989	Havre de Grace, Maryland		
Greg Christian	1966-04-29	1983		Heavy metal music|Thrash metal	
Peggy King	1930-02-16			Pop music	
Joelistics		1999		Australian Hip Hop	Elefant Traks|Liberation Music
Mark Parry (musician)		2005		Rock and roll	
Darren Allison		1987		Avant-garde music|Baroque pop|Folk music|Independent music|Jazz|Pop music|Post-rock|Rock music|World music	
James Maddock			Leicester	Americana (music)|Folk music	
Michael Carr (composer)					
Aki Yashiro	1950-08-29	1971	Yatsushiro, Kumamoto	Enka|Jazz|Kayōkyoku	
David Liptak	1949-12-18				
Tina Sani			Dhaka	Ghazal	
José Alfredo Jiménez	1926-01-19		Dolores Hidalgo	Mariachi|Ranchera	
Ibtissam Tiskat	1992-10-03	2013		Arabic music|Middle Eastern music|Moroccan music|Moroccan pop	
Joanna St. Claire				Downtempo|Electronica|Emotion|Rock music|World music	
Kevin Godley	1945-10-07	1960		Rock music	
Derek Ryan (singer)		2001		Country and Irish	
Cliffie Stone	1917-03-01		Stockton, California	Country music	Capitol Records
David Bowie	1947-01-08	1962			
Carolyn Mark		2000		Alternative country	Mint Records
Paula Kelly (singer)	1919-04-06	1939			
Giora Schmidt	1983-01-09		Philadelphia	Classical music	
Eliot Fisk	1954-08-10	1976	Philadelphia	Classical music	Albany Records|Musical Heritage Society|Naxos Music|Nimbus Records
Devin Bronson	1983-05-15	2003		Acoustic music|Alternative rock|Indie rock|Pop punk|Pop rock|Power pop	Nettwerk|RCA Records|ViK. Recordings
Dima Bashar	2000-10-10	2008	Nablus	Islamic	
P. Miles Bryson					
Katherine Turman			Los Angeles	Hard rock|Heavy metal music|Rock music|Shock rock	
Priscilla Weems	1972-01-18		Eugene, Oregon		
Jeff Katz					
Patricia Barber	1955-11-08		Chicago	Jazz	Blue Note Records
Pantha du Prince		2002	Kassel	Dark ambient|Electronic music|Microhouse|Minimal Techno	Dial Records (1999)|Rough Trade Records
Taime Downe	1964-09-29	1985	Seattle	Electronica|Glam metal|Gothic rock|Hard rock|Heavy metal music|Industrial rock	Elektra Records
Bob Belden	1956-10-31	1970	Evanston, Illinois	Big band|Fusion jazz|Jazz	Blue Note Records|RareNoiseRecords|Sunnyside Records
Min (singer)	1991-06-21		Seoul		
Ebenezer Obey	1942-04-03	1950		Jùjú music	
Karise Eden	1992-07-11	2012	Gosford	Blues|Pop music|Soul music	Universal Music Group
Bob Thompson (musician)	1924-08-24	1955	San Jose, California	Big band music|Easy listening|Exotica|Film scores|Jazz|Space age pop	Dot Records|RCA Victor
Aldo Mazza					
Jo Berger Myhre	1984-05-29		Sandefjord	Jazz	List of Hubro albums|Rune Grammofon
Mila J	1983-11-18	2006	Los Angeles	Contemporary R&B|Hip hop music|Pop rap	Motown Records|The Ultimate Group
Stephanie Davis (singer)		1993		Country music	Asylum Records
Rajan Ishan	1978-09-29				
Vassilis Saleas		1970		Greek folk music	
Bruno Kovačić	1967-01-29	1984		Pop music|Rock music	Cantus
Ola Onabule				R&B|Soul music	
Allan Reuss	1915-06-15		New York City	Jazz	
Willie Ackerman	1939-05-01	1957	Nashville, Tennessee		
Irv Teibel	1938-10-09		Buffalo, New York	Field recording	Atlantic Records
Marisa Monte	1967-07-01		Rio de Janeiro	Música popular brasileira	
Street Radio		2007		East Coast hip hop	Interscope Records
Melanie Fontana		2011		Contemporary R&B|Country Music|Pop music|Urban contemporary	
Eric13				Acoustic music|Electro-industrial|Hard rock|Heavy metal music|Industrial metal|Industrial rock|Rock music|Rocknroll	
Ritchie Pickett	1955-02-16	1970		Country music	
Nóirín Ní Riain		1977		Celtic music|Folk music|Gregorian Chant|Irish traditional music	Gael-Linn Records|Sounds True
Nino D'Angelo	1957-06-21	1970		Folk music|Pop music	Casa Ricordi|Sony BMG
Lucien Capet	1873-01-08	1887		Classical music	
Craig Sharpe	1989-09-23	2006		Pop music	
Goldie Hill	1933-01-11	1953		Country Music	Decca Records|Epic Records
Emilio Villareal	1920-12-21	1946			
Bonobo (musician)	1976-03-30	1999		Acid jazz|Chillwave|Downtempo|Electronica|Soul music|Trip hop	Ninja Tune|Tru Thoughts
Trijntje Oosterhuis	1973-02-05	1990	Amsterdam	Jazz|Pop music	Blue Note Records|EMI
Suchith Suresan	1987-08-24	2008	Thiruvananthapuram		
Seoighe Inish Bearachain	1919-02-19				
Chris Henderson (Canadian musician)	1984-04-07	2006	Estevan	Country music	
Steven Spence (musician)		9			
Jackie Trent	1940-09-06	1962		Popular music|Theatre	Columbia Graphophone Company|Oriole Records (UK)|Pye Records
Lyle Blackburn		1988	Fort Worth, Texas		
Nury Halmammedov	1940-02-24				
Shun Ng	1990-05-24	2011	Chicago	Blues music|Funk music|Rhythm & Blues|Soul music	
Pierre Kezdy	1964-01-04	1980		Punk rock	Caroline Records|Quarterstick Records|Riot Fest|Wax Trax! Records
Sol Phenduka	1987-02-18	2008	Johannesburg		
Dimitar Andonovski	1985-09-06	2003	Bitola	Pop music	
Johann Kaspar Horn					
Indecka		2003		Dancehall|Reggae	
Jang Hyun-seung	1989-09-03		Suncheon		
Selau		2002		Hip hop music|Neo soul|Rhythm and blues	
Louise Rutkowski					
Joanita Kawalya	1967-05-01				
Jamie Spaniolo	1975-11-05	1993		Hip hop music	Majik Ninja Entertainment|Psychopathic Records
John Dahlbäck	1985-10-13	2002		Electro house|House music|Progressive house|Tech house	Armada Music|Dim Mak Records|Wall Recordings
Hiroto Kōmoto	1963-03-17	1985	Okayama	Punk rock	
Tae Brooks	1997-10-06	2011	Cincinnati	Pop music|Rhythm and blues|Soul music	
Mike Hanopol		1960		Pinoy rock	
Christian Liljegren	1971-02-03			Christian metal|Power metal	Liljegren Records
Boom Desjardins		1993	Val-d'Or	Rock music	
Joelma Mendes	1974-06-22	1999	Almeirim, Pará		Universal Music Group
Saad Lamjarred	1985-04-07	2007	Rabat	Arabic pop|Worldbeat	
Yoon Kye-sang	1979-12-20	1999	Seoul	K-pop|Rhythm and blues	JYP Entertainment|SidusHQ
Gary Peacock	1935-05-12		Burley, Idaho	Avant-garde jazz|Bebop|Free jazz|Hard bop|Jazz|Post-bop	
Serge Pizzorno	1980-12-15			Alternative rock|Electronic rock|Electronica|Neo-psychedelia|Space rock	
Peter Solowka			Leeds		
Echo (producer)		2000		Urban contemporary	
Jim Beard	1960-08-26	1985	Philadelphia	Jazz fusion	
Claire Raphael Reis					
Abdul Alim (folk singer)	1931-07-27		Murshidabad		
Billy More	1965-02-03		Milan		
Robby Maria	1971-08-10	2008			
Monika Christodoulou	1985-05-26	2005		Folk blues|Folk pop|Independent music	
Johan Frandsen	1982-09-09	1996		Alternative rock|Punk rock|Rockabilly	
Tony Platt					
Gary Marlowe	1967-03-07		Berlin		
Bobby Darin	1936-05-14	1956	New York City	Blues|Folk music|Jazz|Pop music|Rock 'n' roll|Swing music	Atco Records|Atlantic Records|Brunswick Records|Capitol Records|Decca Records|Motown
Vytautas Juozapaitis	1963-12-14	1986	Radviliškis	Classical music|Musical theatre|Opera|Operetta	
Dan Boeckner	1978-02-05	2000		Indie rock	Last Gang Records|Sub Pop
Peter Donohoe (pianist)	1953-06-18	1976	Manchester	Classical Music	EMI Records|Hyperion Records|Naxos Records
Stan Kenton	1911-12-15	1930	Wichita, Kansas	Progressive jazz|Swing music|West Coast jazz	Capitol Records|Decca Records
"Andy ""Stoker"" Growcott"	1959-06-03		Wolverhampton	Celtic music|Hip hop music|New wave music|Pop music|Rock music|Soul music	
Savage (rapper)	1981-06-28	2001		New Zealand hip hop	Dawn Raid Entertainment|Universal Republic Records
Chew Fu		1999		Electro house|Electronic dance music|Hip hop music	
Charles Curtis (musician)				Experimental music	Shimmy Disc
Lyman Woodard	1942-03-03	1975		Funk|Fusion (music)|Jazz|Soul music	
Lisa Coleman (musician)	1960-08-17	1973	Los Angeles	Funk|Minneapolis sound|New wave music|Pop music|R&B|Rock music	Columbia Records|EMI Records|Sony Music Entertainment|Virgin Records|World Domination Recordings
Markus Johansson	1984-12-22	2006	Chicago	Hard rock|Heavy metal music|Power metal|Progressive metal|Speed metal|Thrash metal	
Su Su Bobien	1970-11-04	1991	Newark, New Jersey	Dance music|Gospel music|House music|Jazz	
Nektaria Karantzi	1978-08-05			Byzantine music	
Sonny Throckmorton	1941-04-02	1965		Country music	Mercury Records|Warner Bros. Records
Jack Russell (musician)	1960-12-05		Montebello, California	Glam metal|Hard rock|Heavy metal music	
Frank Lowe	1943-06-24	1960	Memphis, Tennessee	Avant-garde jazz|Free jazz	ESP-Disk|Impulse! Records
Mari Kumamoto	1964-10-15		Tokyo	Classical Music	
Colin Currie	1976-09-25				
Mike Deasy	1941-02-04	1958	Los Angeles		Capitol Records|Sparrow Records
Amir Amor		2002	Tehran	Alternative rock|Dance music|Electronic music|Hip hop music|Pop music|Soul music	679 Artists|Asylum Records|Atlantic Records|Black Butter Records
Willy Denzey	1982-08-19	2002		Hip hop music|R&B	
Josh Osho		2011		Acoustic music|Alternative rock|Contemporary R&B	
M-1 (rapper)	1972-05-12			Hip hop music	Koch Entertainment
Michael Gray (DJ)	1966-07-25	2003		Club music|Dance music|Disco|House music	
